level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 0.5)","('lookback_window', 600)","('p-value', 0.05)",-23701.25,-4.74,-1.05,2.47,-0.42,-0.25,0.2,0.24,-0.08,-5.31,560.0,-0.0431,-0.0,0.5,600,0.05
"('entry_threshold', 0.6)","('lookback_window', 600)","('p-value', 0.05)",-27738.12,-5.55,-1.23,2.41,-0.51,-0.29,0.2,0.28,-0.09,-6.09,561.0,-0.04372,-0.01,0.6,600,0.05
"('entry_threshold', 0.7)","('lookback_window', 600)","('p-value', 0.05)",-29583.13,-5.92,-1.31,2.31,-0.57,-0.31,0.2,0.33,-0.1,-6.42,562.0,-0.04034,-0.01,0.7,600,0.05
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.01)",-2610.66,-0.52,-0.11,0.19,-0.59,-0.05,0.2,-4.34,-0.01,-0.55,321.0,0.00026,-0.0,1.0,480,0.01
"('entry_threshold', 0.9)","('lookback_window', 600)","('p-value', 0.05)",-27507.72,-5.5,-1.22,1.92,-0.63,-0.31,0.21,0.45,-0.09,-5.77,562.0,-0.02689,-0.01,0.9,600,0.05
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.01)",-5787.21,-1.16,-0.25,0.4,-0.64,-0.05,0.2,6.63,-0.02,-1.26,405.0,-0.00038,-0.0,1.0,600,0.01
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.05)",-27238.68,-5.45,-1.21,1.89,-0.64,-0.3,0.21,0.48,-0.09,-5.72,562.0,-0.02511,-0.01,1.0,600,0.05
"('entry_threshold', 0.8)","('lookback_window', 600)","('p-value', 0.05)",-33409.61,-6.68,-1.49,2.22,-0.67,-0.34,0.21,0.38,-0.11,-6.95,562.0,-0.03885,-0.01,0.8,600,0.05
"('entry_threshold', 0.6)","('lookback_window', 600)","('p-value', 0.01)",-10238.18,-2.05,-0.45,0.55,-0.81,-0.12,0.22,0.92,-0.03,-2.05,459.0,-0.00486,-0.0,0.6,600,0.01
"('entry_threshold', 0.9)","('lookback_window', 480)","('p-value', 0.01)",-7696.58,-1.54,-0.34,0.38,-0.88,-0.11,0.2,0.9,-0.03,-1.67,620.0,-0.00374,-0.0,0.9,480,0.01
"('entry_threshold', 0.9)","('lookback_window', 600)","('p-value', 0.01)",-8258.88,-1.65,-0.36,0.41,-0.89,-0.09,0.21,5.26,-0.03,-1.68,455.0,-0.00069,-0.0,0.9,600,0.01
"('entry_threshold', 0.5)","('lookback_window', 600)","('p-value', 0.01)",-11998.69,-2.4,-0.52,0.56,-0.94,-0.16,0.21,0.94,-0.04,-2.5,457.0,-0.00559,-0.0,0.5,600,0.01
"('entry_threshold', 0.7)","('lookback_window', 480)","('p-value', 0.01)",-9074.48,-1.81,-0.4,0.41,-0.97,-0.14,0.2,0.91,-0.03,-1.95,620.0,-0.00437,-0.0,0.7,480,0.01
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.01)",-9074.48,-1.81,-0.4,0.41,-0.97,-0.14,0.2,0.91,-0.03,-1.95,620.0,-0.00437,-0.0,0.6,480,0.01
"('entry_threshold', 0.8)","('lookback_window', 600)","('p-value', 0.01)",-11344.55,-2.27,-0.5,0.51,-0.98,-0.12,0.22,1.15,-0.04,-2.29,455.0,-0.00431,-0.0,0.8,600,0.01
"('entry_threshold', 0.7)","('lookback_window', 600)","('p-value', 0.01)",-11488.07,-2.3,-0.5,0.51,-0.99,-0.13,0.22,1.18,-0.04,-2.3,459.0,-0.00425,-0.0,0.7,600,0.01
"('entry_threshold', 0.5)","('lookback_window', 480)","('p-value', 0.05)",-43765.39,-8.75,-1.97,1.97,-1.0,-0.69,0.22,1.14,-0.15,-8.75,683.0,-0.01729,-0.02,0.5,480,0.05
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.01)",-9261.81,-1.85,-0.4,0.41,-1.0,-0.14,0.2,0.93,-0.03,-1.99,620.0,-0.00434,-0.0,0.8,480,0.01
"('entry_threshold', 0.5)","('lookback_window', 480)","('p-value', 0.01)",-9794.38,-1.96,-0.43,0.41,-1.04,-0.16,0.22,0.96,-0.03,-1.96,624.0,-0.00444,-0.0,0.5,480,0.01
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.05)",-46239.69,-9.25,-2.08,1.87,-1.11,-0.76,0.22,1.44,-0.16,-9.25,683.0,-0.01443,-0.02,0.6,480,0.05
"('entry_threshold', 0.7)","('lookback_window', 480)","('p-value', 0.05)",-48825.65,-9.77,-2.2,1.87,-1.18,-0.8,0.23,1.6,-0.17,-9.77,683.0,-0.01373,-0.02,0.7,480,0.05
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.05)",-49079.74,-9.82,-2.21,1.81,-1.22,-0.79,0.23,1.67,-0.17,-9.82,683.0,-0.01327,-0.02,0.8,480,0.05
"('entry_threshold', 0.9)","('lookback_window', 480)","('p-value', 0.05)",-47477.45,-9.5,-2.14,1.73,-1.23,-0.76,0.23,1.48,-0.16,-9.5,683.0,-0.01449,-0.02,0.9,480,0.05
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.05)",-48542.3,-9.71,-2.19,1.52,-1.44,-0.85,0.22,4.14,-0.17,-9.73,683.0,-0.00529,-0.02,1.0,480,0.05
