level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.0)","('lookback_window', 240)","('p-value', 0.01)",-1288.6,-0.26,-0.06,1.52,-0.04,-0.02,0.02,-0.06,-0.0,-3.23,916.0,0.00908,-0.0,1.0,240,0.01
"('entry_threshold', 0.8)","('lookback_window', 240)","('p-value', 0.01)",-4747.33,-0.95,-0.21,1.66,-0.12,-0.08,0.05,-0.18,-0.02,-4.05,914.0,0.01139,-0.0,0.8,240,0.01
"('entry_threshold', 1.0)","('lookback_window', 360)","('p-value', 0.05)",-7395.29,-1.48,-0.32,2.58,-0.13,-0.08,0.07,0.42,-0.02,-4.76,772.0,-0.00775,-0.0,1.0,360,0.05
"('entry_threshold', 1.0)","('lookback_window', 240)","('p-value', 0.05)",-15197.62,-3.04,-0.67,4.1,-0.16,-0.13,0.06,0.81,-0.05,-10.39,907.0,-0.00827,-0.0,1.0,240,0.05
"('entry_threshold', 0.8)","('lookback_window', 360)","('p-value', 0.05)",-19147.97,-3.83,-0.84,3.18,-0.27,-0.16,0.13,0.65,-0.06,-6.63,773.0,-0.0129,-0.01,0.8,360,0.05
"('entry_threshold', 0.8)","('lookback_window', 360)","('p-value', 0.01)",-14556.11,-2.91,-0.64,1.24,-0.52,-0.28,0.2,-38.82,-0.05,-3.16,794.0,0.00016,-0.01,0.8,360,0.01
"('entry_threshold', 1.0)","('lookback_window', 360)","('p-value', 0.01)",-13554.38,-2.71,-0.59,1.11,-0.53,-0.26,0.19,-24.04,-0.05,-3.2,793.0,0.00025,-0.01,1.0,360,0.01
"('entry_threshold', 0.8)","('lookback_window', 240)","('p-value', 0.05)",-68353.06,-13.67,-3.14,5.3,-0.59,-0.44,0.17,2.53,-0.22,-18.02,915.0,-0.01241,-0.03,0.8,240,0.05
