level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.8)","('lookback_window', 160)","('p-value', 0.01)",-4488.38,-0.9,-0.14,0.12,-1.15,-0.39,0.15,13.88,-0.01,-0.94,1464.0,-0.0001,-0.0,1.8,160,0.01
"('entry_threshold', 1.8)","('lookback_window', 60)","('p-value', 0.01)",-13799.68,-2.76,-0.42,0.35,-1.22,-0.56,0.15,-3.5,-0.03,-2.83,1564.0,0.00121,-0.0,1.8,60,0.01
"('entry_threshold', 1.6)","('lookback_window', 140)","('p-value', 0.01)",-8100.57,-1.62,-0.25,0.2,-1.23,-0.51,0.15,-10.5,-0.02,-1.68,1513.0,0.00024,-0.0,1.6,140,0.01
"('entry_threshold', 1.6)","('lookback_window', 200)","('p-value', 0.05)",-18788.52,-3.76,-0.58,0.47,-1.23,-0.66,0.15,-4.37,-0.04,-3.96,1456.0,0.00132,-0.01,1.6,200,0.05
"('entry_threshold', 1.2)","('lookback_window', 240)","('p-value', 0.05)",-27195.07,-5.44,-0.84,0.67,-1.26,-0.95,0.14,-19.45,-0.07,-6.19,1422.0,0.00043,-0.01,1.2,240,0.05
"('entry_threshold', 1.2)","('lookback_window', 140)","('p-value', 0.01)",-15213.33,-3.04,-0.47,0.37,-1.28,-0.68,0.15,-12.36,-0.04,-3.11,1517.0,0.00038,-0.0,1.2,140,0.01
"('entry_threshold', 0.8)","('lookback_window', 140)","('p-value', 0.01)",-19130.32,-3.83,-0.59,0.45,-1.3,-0.85,0.15,14.84,-0.05,-3.89,1517.0,-0.0004,-0.01,0.8,140,0.01
"('entry_threshold', 1.8)","('lookback_window', 200)","('p-value', 0.05)",-18097.95,-3.62,-0.56,0.42,-1.33,-0.64,0.14,-2.97,-0.04,-3.85,1446.0,0.00187,-0.01,1.8,200,0.05
"('entry_threshold', 1.2)","('lookback_window', 160)","('p-value', 0.01)",-9112.19,-1.82,-0.28,0.2,-1.36,-0.72,0.14,68.81,-0.02,-1.93,1470.0,-4e-05,-0.0,1.2,160,0.01
"('entry_threshold', 0.8)","('lookback_window', 240)","('p-value', 0.05)",-35864.17,-7.17,-1.12,0.81,-1.38,-1.13,0.15,9.17,-0.09,-7.46,1423.0,-0.00122,-0.01,0.8,240,0.05
"('entry_threshold', 2.4)","('lookback_window', 160)","('p-value', 0.1)",-13389.84,-2.68,-0.41,0.29,-1.43,-0.59,0.14,-5.82,-0.03,-2.92,1470.0,0.0007,-0.0,2.4,160,0.1
"('entry_threshold', 1.6)","('lookback_window', 160)","('p-value', 0.01)",-7633.02,-1.53,-0.23,0.16,-1.46,-0.58,0.15,-27.69,-0.02,-1.58,1463.0,8e-05,-0.0,1.6,160,0.01
"('entry_threshold', 1.6)","('lookback_window', 160)","('p-value', 0.05)",-19191.23,-3.84,-0.59,0.41,-1.46,-0.97,0.15,-14.68,-0.05,-4.01,1474.0,0.0004,-0.01,1.6,160,0.05
"('entry_threshold', 1.8)","('lookback_window', 240)","('p-value', 0.1)",-30866.37,-6.17,-0.96,0.65,-1.47,-0.96,0.15,26.1,-0.07,-6.6,1419.0,-0.00037,-0.01,1.8,240,0.1
"('entry_threshold', 2.4)","('lookback_window', 140)","('p-value', 0.05)",-9512.82,-1.9,-0.29,0.19,-1.49,-0.52,0.15,-4.35,-0.02,-1.92,1472.0,0.00067,-0.0,2.4,140,0.05
"('entry_threshold', 1.2)","('lookback_window', 200)","('p-value', 0.05)",-32099.82,-6.42,-1.0,0.67,-1.5,-0.95,0.15,-2.83,-0.08,-6.88,1441.0,0.00353,-0.01,1.2,200,0.05
"('entry_threshold', 1.6)","('lookback_window', 240)","('p-value', 0.1)",-36729.07,-7.35,-1.15,0.76,-1.51,-1.05,0.15,-297.07,-0.09,-7.63,1415.0,4e-05,-0.01,1.6,240,0.1
"('entry_threshold', 1.2)","('lookback_window', 100)","('p-value', 0.01)",-17547.57,-3.51,-0.54,0.36,-1.51,-0.94,0.15,17.62,-0.04,-3.68,1540.0,-0.00031,-0.01,1.2,100,0.01
"('entry_threshold', 1.8)","('lookback_window', 100)","('p-value', 0.01)",-9484.22,-1.9,-0.29,0.19,-1.52,-0.54,0.15,11.08,-0.02,-1.91,1551.0,-0.00026,-0.0,1.8,100,0.01
"('entry_threshold', 1.8)","('lookback_window', 160)","('p-value', 0.05)",-14021.72,-2.8,-0.43,0.28,-1.53,-0.8,0.14,18.24,-0.03,-2.99,1476.0,-0.00024,-0.0,1.8,160,0.05
"('entry_threshold', 1.6)","('lookback_window', 100)","('p-value', 0.01)",-12591.61,-2.52,-0.39,0.24,-1.58,-0.66,0.15,-10.02,-0.03,-2.53,1551.0,0.00038,-0.0,1.6,100,0.01
"('entry_threshold', 1.2)","('lookback_window', 160)","('p-value', 0.05)",-26413.72,-5.28,-0.82,0.5,-1.63,-1.41,0.15,-5.48,-0.06,-5.43,1498.0,0.00149,-0.01,1.2,160,0.05
"('entry_threshold', 0.8)","('lookback_window', 100)","('p-value', 0.01)",-25507.36,-5.1,-0.79,0.47,-1.68,-1.22,0.15,75.01,-0.06,-5.22,1551.0,-0.00011,-0.01,0.8,100,0.01
"('entry_threshold', 0.8)","('lookback_window', 200)","('p-value', 0.05)",-49150.72,-9.83,-1.55,0.91,-1.71,-1.23,0.15,-4.04,-0.12,-10.3,1446.0,0.00385,-0.02,0.8,200,0.05
"('entry_threshold', 1.2)","('lookback_window', 60)","('p-value', 0.01)",-28566.92,-5.71,-0.89,0.52,-1.71,-1.11,0.15,-10.16,-0.07,-5.75,1595.0,0.00087,-0.01,1.2,60,0.01
"('entry_threshold', 1.2)","('lookback_window', 240)","('p-value', 0.1)",-53358.09,-10.67,-1.69,0.97,-1.76,-1.59,0.16,-25.88,-0.13,-10.92,1424.0,0.00065,-0.02,1.2,240,0.1
"('entry_threshold', 2.4)","('lookback_window', 100)","('p-value', 0.05)",-26501.2,-5.3,-0.82,0.47,-1.76,-0.58,0.15,-5.41,-0.06,-5.3,1551.0,0.00152,-0.01,2.4,100,0.05
"('entry_threshold', 1.6)","('lookback_window', 60)","('p-value', 0.01)",-23862.06,-4.77,-0.74,0.42,-1.77,-0.92,0.15,-10.55,-0.06,-4.84,1573.0,0.0007,-0.01,1.6,60,0.01
"('entry_threshold', 1.8)","('lookback_window', 200)","('p-value', 0.1)",-37318.08,-7.46,-1.17,0.66,-1.78,-1.02,0.15,-3.88,-0.09,-7.79,1430.0,0.00301,-0.01,1.8,200,0.1
"('entry_threshold', 0.8)","('lookback_window', 240)","('p-value', 0.1)",-67361.13,-13.47,-2.17,1.2,-1.81,-1.79,0.16,-85.61,-0.17,-13.51,1423.0,0.00025,-0.02,0.8,240,0.1
"('entry_threshold', 2.4)","('lookback_window', 140)","('p-value', 0.1)",-18677.13,-3.74,-0.57,0.31,-1.83,-0.83,0.15,-3.66,-0.04,-3.75,1472.0,0.00157,-0.01,2.4,140,0.1
"('entry_threshold', 0.8)","('lookback_window', 160)","('p-value', 0.05)",-40125.61,-8.03,-1.26,0.68,-1.86,-1.73,0.15,-3.74,-0.1,-8.33,1490.0,0.00336,-0.01,0.8,160,0.05
"('entry_threshold', 1.6)","('lookback_window', 200)","('p-value', 0.1)",-42720.55,-8.54,-1.34,0.72,-1.87,-1.23,0.15,-5.77,-0.1,-8.97,1451.0,0.00233,-0.01,1.6,200,0.1
"('entry_threshold', 1.2)","('lookback_window', 200)","('p-value', 0.1)",-56890.71,-11.38,-1.81,0.97,-1.87,-1.53,0.15,-4.59,-0.14,-12.24,1449.0,0.00395,-0.02,1.2,200,0.1
"('entry_threshold', 2.4)","('lookback_window', 60)","('p-value', 0.05)",-21433.69,-4.29,-0.66,0.35,-1.89,-0.69,0.15,-3.31,-0.05,-4.29,1601.0,0.002,-0.01,2.4,60,0.05
"('entry_threshold', 1.6)","('lookback_window', 140)","('p-value', 0.05)",-31254.01,-6.25,-0.97,0.51,-1.92,-1.25,0.15,-6.37,-0.08,-6.36,1517.0,0.00153,-0.01,1.6,140,0.05
"('entry_threshold', 1.8)","('lookback_window', 140)","('p-value', 0.05)",-26528.82,-5.31,-0.82,0.42,-1.98,-1.13,0.15,-7.69,-0.06,-5.41,1494.0,0.00107,-0.01,1.8,140,0.05
"('entry_threshold', 1.8)","('lookback_window', 160)","('p-value', 0.1)",-33645.06,-6.73,-1.05,0.52,-2.02,-1.45,0.14,-4.44,-0.08,-7.26,1471.0,0.00237,-0.01,1.8,160,0.1
