level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.3)","('lookback_window', 140)","('p-value', 0.01)",-17392.93,-3.48,-0.76,0.82,-0.93,-0.24,0.18,-17.83,-0.06,-4.23,1014.0,0.00043,-0.01,2.3,140,0.01
"('entry_threshold', 2.5)","('lookback_window', 100)","('p-value', 0.1)",-63234.65,-12.65,-2.89,3.12,-0.93,-0.42,0.2,-5.45,-0.22,-14.46,1027.0,0.0053,-0.03,2.5,100,0.1
"('entry_threshold', 2.3)","('lookback_window', 140)","('p-value', 0.05)",-30966.59,-6.19,-1.38,1.48,-0.93,-0.46,0.19,2.44,-0.11,-7.23,1004.0,-0.00563,-0.01,2.3,140,0.05
"('entry_threshold', 2.1)","('lookback_window', 200)","('p-value', 0.01)",-13308.28,-2.66,-0.58,0.63,-0.93,-0.27,0.2,-4.95,-0.05,-2.96,949.0,0.00118,-0.01,2.1,200,0.01
"('entry_threshold', 2.4)","('lookback_window', 200)","('p-value', 0.01)",-12553.74,-2.51,-0.55,0.59,-0.94,-0.23,0.19,-5.66,-0.04,-2.93,952.0,0.00097,-0.01,2.4,200,0.01
"('entry_threshold', 2.2)","('lookback_window', 100)","('p-value', 0.05)",-52072.08,-10.41,-2.35,2.47,-0.95,-0.48,0.21,14.02,-0.18,-11.48,1043.0,-0.00168,-0.02,2.2,100,0.05
"('entry_threshold', 2.5)","('lookback_window', 120)","('p-value', 0.1)",-54806.98,-10.96,-2.48,2.62,-0.95,-0.42,0.16,-8.24,-0.19,-15.54,1029.0,0.00301,-0.03,2.5,120,0.1
"('entry_threshold', 2.2)","('lookback_window', 120)","('p-value', 0.05)",-48149.71,-9.63,-2.17,2.28,-0.95,-0.51,0.17,-35.47,-0.17,-12.99,1028.0,0.00061,-0.02,2.2,120,0.05
"('entry_threshold', 2.5)","('lookback_window', 120)","('p-value', 0.05)",-38696.68,-7.74,-1.73,1.78,-0.97,-0.4,0.16,15.38,-0.13,-10.92,1027.0,-0.00113,-0.02,2.5,120,0.05
"('entry_threshold', 2.5)","('lookback_window', 200)","('p-value', 0.01)",-13021.72,-2.6,-0.57,0.58,-0.98,-0.22,0.2,-8.51,-0.04,-2.91,924.0,0.00067,-0.01,2.5,200,0.01
