level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.9)","('lookback_window', 400)","('p-value', 0.01)",15874.15,3.17,0.68,0.48,1.4,0.82,-3.64,-3.76,0.05,-0.19,452.0,-0.00181,0.01,1.9,400,0.01
"('entry_threshold', 2.0)","('lookback_window', 400)","('p-value', 0.01)",15507.08,3.1,0.66,0.49,1.36,0.68,-3.56,-3.8,0.05,-0.19,224.0,-0.00175,0.01,2.0,400,0.01
"('entry_threshold', 1.8)","('lookback_window', 400)","('p-value', 0.01)",15382.28,3.08,0.66,0.56,1.17,0.29,-1.24,-3.48,0.05,-0.53,452.0,-0.00189,0.01,1.8,400,0.01
"('entry_threshold', 1.7)","('lookback_window', 400)","('p-value', 0.01)",14879.77,2.98,0.64,0.57,1.13,0.31,-1.2,-3.21,0.05,-0.53,281.0,-0.00198,0.01,1.7,400,0.01
"('entry_threshold', 1.6)","('lookback_window', 400)","('p-value', 0.01)",14878.93,2.98,0.64,0.57,1.13,0.32,-1.2,-3.21,0.05,-0.53,281.0,-0.00198,0.01,1.6,400,0.01
"('entry_threshold', 2.4)","('lookback_window', 400)","('p-value', 0.01)",2471.42,0.49,0.11,0.1,1.08,1.73,-19.37,-6.57,0.01,-0.01,3.0,-0.00016,0.0,2.4,400,0.01
"('entry_threshold', 1.8)","('lookback_window', 560)","('p-value', 0.01)",1911.96,0.38,0.08,0.08,1.07,,-38.13,-5.36,0.01,-0.0,319.0,-0.00015,0.0,1.8,560,0.01
"('entry_threshold', 2.1)","('lookback_window', 400)","('p-value', 0.01)",9665.74,1.93,0.42,0.4,1.04,0.42,-2.23,7.03,0.03,-0.19,228.0,0.00059,0.0,2.1,400,0.01
"('entry_threshold', 1.5)","('lookback_window', 400)","('p-value', 0.01)",17325.17,3.47,0.74,0.75,0.99,0.29,-1.09,-0.96,0.06,-0.68,450.0,-0.00774,0.01,1.5,400,0.01
"('entry_threshold', 1.9)","('lookback_window', 560)","('p-value', 0.01)",1540.43,0.31,0.07,0.07,0.97,,,-4.35,0.01,0.0,0.0,-0.00015,0.0,1.9,560,0.01
