level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.9)","('lookback_window', 400)","('p-value', 0.01)",16072.46,3.21,0.69,0.49,1.41,0.78,-3.69,-3.99,0.05,-0.19,425.0,-0.00173,0.01,1.9,400,0.01
"('entry_threshold', 2.0)","('lookback_window', 400)","('p-value', 0.01)",15705.33,3.14,0.67,0.49,1.37,0.72,-3.6,-4.04,0.05,-0.19,234.0,-0.00167,0.01,2.0,400,0.01
"('entry_threshold', 1.8)","('lookback_window', 400)","('p-value', 0.01)",15581.04,3.12,0.67,0.56,1.18,0.29,-1.25,-3.68,0.05,-0.53,461.0,-0.00181,0.01,1.8,400,0.01
"('entry_threshold', 1.2)","('lookback_window', 400)","('p-value', 0.01)",21578.85,4.32,0.92,0.81,1.14,0.39,-1.37,-1.01,0.07,-0.67,538.0,-0.0091,0.01,1.2,400,0.01
"('entry_threshold', 1.6)","('lookback_window', 400)","('p-value', 0.01)",15017.01,3.0,0.64,0.57,1.13,0.34,-1.21,-3.38,0.05,-0.53,301.0,-0.0019,0.01,1.6,400,0.01
"('entry_threshold', 1.7)","('lookback_window', 400)","('p-value', 0.01)",15017.53,3.0,0.64,0.57,1.13,0.33,-1.21,-3.38,0.05,-0.53,294.0,-0.0019,0.01,1.7,400,0.01
"('entry_threshold', 1.8)","('lookback_window', 560)","('p-value', 0.01)",1911.96,0.38,0.08,0.08,1.07,,-38.18,-5.36,0.01,-0.0,319.0,-0.00015,0.0,1.8,560,0.01
"('entry_threshold', 1.1)","('lookback_window', 400)","('p-value', 0.01)",21025.38,4.21,0.9,0.84,1.07,0.38,-1.33,-0.91,0.07,-0.68,502.0,-0.00983,0.01,1.1,400,0.01
"('entry_threshold', 1.5)","('lookback_window', 400)","('p-value', 0.01)",17506.43,3.5,0.75,0.75,1.0,0.29,-1.11,-0.98,0.06,-0.67,453.0,-0.00766,0.01,1.5,400,0.01
"('entry_threshold', 1.3)","('lookback_window', 400)","('p-value', 0.01)",17510.05,3.5,0.75,0.75,1.0,0.31,-1.11,-0.98,0.06,-0.67,439.0,-0.00766,0.01,1.3,400,0.01
"('entry_threshold', 1.4)","('lookback_window', 400)","('p-value', 0.01)",17505.17,3.5,0.75,0.75,1.0,0.3,-1.11,-0.98,0.06,-0.67,453.0,-0.00766,0.01,1.4,400,0.01
"('entry_threshold', 1.9)","('lookback_window', 560)","('p-value', 0.01)",1540.41,0.31,0.07,0.07,0.97,,,-4.35,0.01,0.0,0.0,-0.00015,0.0,1.9,560,0.01
"('entry_threshold', 1.0)","('lookback_window', 520)","('p-value', 0.01)",6743.38,1.35,0.29,0.32,0.91,0.34,-1.81,-1.09,0.02,-0.16,246.0,-0.00266,0.0,1.0,520,0.01
