level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.01)",158.91,0.03,0.01,0.01,0.51,,,1.86,0.0,0.0,0.0,4e-05,0.0,1.0,480,0.01
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.05)",-8662.95,-1.73,-0.38,1.83,-0.21,-0.13,0.1,0.15,-0.03,-3.66,682.0,-0.02445,0.0,0.6,480,0.05
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.05)",-13308.95,-2.66,-0.58,1.75,-0.33,-0.2,0.15,0.25,-0.04,-3.78,682.0,-0.0234,-0.0,0.8,480,0.05
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.05)",-14680.56,-2.94,-0.64,1.35,-0.48,-0.28,0.15,0.66,-0.05,-4.28,683.0,-0.00982,-0.0,1.0,480,0.05
"('entry_threshold', 3.0)","('lookback_window', 180)","('p-value', 0.01)",-3389.53,-0.68,-0.15,0.25,-0.58,-0.06,0.18,8.03,-0.01,-0.81,901.0,-0.00018,-0.0,3.0,180,0.01
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.01)",-2964.93,-0.59,-0.13,0.21,-0.61,-0.07,0.17,1.11,-0.01,-0.75,620.0,-0.00116,-0.0,0.6,480,0.01
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.01)",-2964.93,-0.59,-0.13,0.21,-0.61,-0.07,0.17,1.11,-0.01,-0.75,620.0,-0.00116,-0.0,0.8,480,0.01
"('entry_threshold', 3.0)","('lookback_window', 480)","('p-value', 0.1)",-5244.75,-1.05,-0.23,0.34,-0.67,-0.05,0.2,1.24,-0.02,-1.13,662.0,-0.00183,-0.0,3.0,480,0.1
"('entry_threshold', 1.0)","('lookback_window', 360)","('p-value', 0.01)",-16154.69,-3.23,-0.71,1.04,-0.68,-0.26,0.21,1.5,-0.05,-3.35,796.0,-0.00473,-0.01,1.0,360,0.01
"('entry_threshold', 3.0)","('lookback_window', 360)","('p-value', 0.01)",-3238.46,-0.65,-0.14,0.18,-0.78,-0.1,0.22,-1.03,-0.01,-0.65,724.0,0.00136,-0.0,3.0,360,0.01
"('entry_threshold', 0.8)","('lookback_window', 360)","('p-value', 0.01)",-20858.09,-4.17,-0.92,1.15,-0.8,-0.34,0.21,2.74,-0.07,-4.3,787.0,-0.00336,-0.01,0.8,360,0.01
"('entry_threshold', 3.0)","('lookback_window', 180)","('p-value', 0.05)",-10548.02,-2.11,-0.46,0.58,-0.8,-0.17,0.2,5.6,-0.04,-2.27,901.0,-0.00082,-0.0,3.0,180,0.05
"('entry_threshold', 1.0)","('lookback_window', 180)","('p-value', 0.01)",-25691.69,-5.14,-1.14,1.39,-0.82,-0.47,0.22,-23.4,-0.09,-5.14,961.0,0.00049,-0.01,1.0,180,0.01
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.1)",-59300.01,-11.86,-2.7,3.26,-0.83,-0.54,0.23,0.58,-0.19,-11.95,683.0,-0.04632,-0.02,0.8,480,0.1
"('entry_threshold', 0.8)","('lookback_window', 180)","('p-value', 0.01)",-31147.93,-6.23,-1.38,1.6,-0.86,-0.55,0.21,-8.01,-0.11,-6.55,979.0,0.00173,-0.01,0.8,180,0.01
"('entry_threshold', 0.6)","('lookback_window', 360)","('p-value', 0.01)",-23343.68,-4.67,-1.03,1.19,-0.87,-0.37,0.21,2.51,-0.08,-4.8,790.0,-0.00411,-0.01,0.6,360,0.01
"('entry_threshold', 3.0)","('lookback_window', 360)","('p-value', 0.05)",-9197.92,-1.84,-0.4,0.46,-0.88,-0.15,0.22,-1.75,-0.03,-1.84,724.0,0.00229,-0.0,3.0,360,0.05
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.1)",-76887.0,-15.38,-3.55,3.97,-0.89,-0.62,0.23,0.56,-0.25,-15.55,683.0,-0.06375,-0.03,0.6,480,0.1
"('entry_threshold', 3.0)","('lookback_window', 480)","('p-value', 0.2)",-9499.92,-1.9,-0.41,0.45,-0.93,-0.14,0.21,1.85,-0.03,-1.98,676.0,-0.00224,-0.0,3.0,480,0.2
"('entry_threshold', 3.0)","('lookback_window', 180)","('p-value', 0.1)",-16237.0,-3.25,-0.71,0.7,-1.01,-0.24,0.22,9.43,-0.06,-3.27,901.0,-0.00076,-0.01,3.0,180,0.1
