level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 0.7)","('lookback_window', 720)","('p-value', 0.01)",1136.11,0.23,0.05,0.38,0.13,0.02,-0.11,-0.15,0.0,-0.44,324.0,-0.00337,0.0,0.7,720,0.01
"('entry_threshold', 1.0)","('lookback_window', 720)","('p-value', 0.01)",719.84,0.14,0.03,0.37,0.09,0.01,-0.06,-0.1,0.0,-0.53,327.0,-0.00325,0.0,1.0,720,0.01
"('entry_threshold', 1.3)","('lookback_window', 840)","('p-value', 0.01)",-85.39,-0.02,-0.0,0.17,-0.02,-0.01,0.01,0.09,-0.0,-0.29,37.0,-0.0004,0.0,1.3,840,0.01
"('entry_threshold', 1.2)","('lookback_window', 840)","('p-value', 0.01)",-85.39,-0.02,-0.0,0.17,-0.02,-0.01,0.01,0.09,-0.0,-0.29,37.0,-0.0004,0.0,1.2,840,0.01
"('entry_threshold', 1.2)","('lookback_window', 720)","('p-value', 0.01)",-326.71,-0.07,-0.01,0.29,-0.05,-0.0,0.03,0.04,-0.0,-0.44,353.0,-0.00326,0.0,1.2,720,0.01
"('entry_threshold', 1.3)","('lookback_window', 720)","('p-value', 0.01)",-337.57,-0.07,-0.01,0.28,-0.05,-0.0,0.03,0.05,-0.0,-0.44,341.0,-0.00323,0.0,1.3,720,0.01
"('entry_threshold', 0.7)","('lookback_window', 840)","('p-value', 0.01)",-2915.5,-0.58,-0.13,0.25,-0.51,-0.1,0.19,4.51,-0.01,-0.68,322.0,-0.00028,-0.0,0.7,840,0.01
"('entry_threshold', 0.7)","('lookback_window', 600)","('p-value', 0.05)",-29583.13,-5.92,-1.31,2.31,-0.57,-0.31,0.2,0.33,-0.1,-6.42,562.0,-0.04034,-0.01,0.7,600,0.05
"('entry_threshold', 1.0)","('lookback_window', 840)","('p-value', 0.01)",-3613.55,-0.72,-0.16,0.27,-0.58,-0.1,0.21,19.41,-0.01,-0.74,321.0,-8e-05,-0.0,1.0,840,0.01
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.01)",-2610.66,-0.52,-0.11,0.19,-0.59,-0.05,0.2,-4.34,-0.01,-0.55,321.0,0.00026,-0.0,1.0,480,0.01
"('entry_threshold', 1.3)","('lookback_window', 480)","('p-value', 0.01)",-2768.67,-0.55,-0.12,0.19,-0.62,-0.06,0.22,-5.37,-0.01,-0.55,321.0,0.00022,-0.0,1.3,480,0.01
"('entry_threshold', 1.2)","('lookback_window', 480)","('p-value', 0.01)",-2768.67,-0.55,-0.12,0.19,-0.62,-0.06,0.22,-5.37,-0.01,-0.55,321.0,0.00022,-0.0,1.2,480,0.01
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.01)",-5787.21,-1.16,-0.25,0.4,-0.64,-0.05,0.2,6.63,-0.02,-1.26,405.0,-0.00038,-0.0,1.0,600,0.01
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.05)",-27238.68,-5.45,-1.21,1.89,-0.64,-0.3,0.21,0.48,-0.09,-5.72,562.0,-0.02511,-0.01,1.0,600,0.05
"('entry_threshold', 1.2)","('lookback_window', 600)","('p-value', 0.05)",-26542.76,-5.31,-1.17,1.71,-0.69,-0.3,0.21,0.5,-0.09,-5.58,562.0,-0.02354,-0.01,1.2,600,0.05
"('entry_threshold', 0.7)","('lookback_window', 720)","('p-value', 0.05)",-31554.7,-6.31,-1.4,1.88,-0.75,-0.39,0.19,1.24,-0.11,-7.49,441.0,-0.0113,-0.01,0.7,720,0.05
"('entry_threshold', 1.3)","('lookback_window', 600)","('p-value', 0.01)",-7337.66,-1.47,-0.32,0.4,-0.8,-0.07,0.22,-32.36,-0.02,-1.47,405.0,0.0001,-0.0,1.3,600,0.01
"('entry_threshold', 1.2)","('lookback_window', 600)","('p-value', 0.01)",-7337.66,-1.47,-0.32,0.4,-0.8,-0.07,0.22,-32.36,-0.02,-1.47,405.0,0.0001,-0.0,1.2,600,0.01
"('entry_threshold', 1.3)","('lookback_window', 600)","('p-value', 0.05)",-29556.15,-5.91,-1.31,1.63,-0.81,-0.31,0.21,0.57,-0.1,-6.18,562.0,-0.02295,-0.01,1.3,600,0.05
"('entry_threshold', 0.7)","('lookback_window', 480)","('p-value', 0.01)",-9074.48,-1.81,-0.4,0.41,-0.97,-0.14,0.2,0.91,-0.03,-1.95,620.0,-0.00437,-0.0,0.7,480,0.01
"('entry_threshold', 0.7)","('lookback_window', 600)","('p-value', 0.01)",-11488.07,-2.3,-0.5,0.51,-0.99,-0.13,0.22,1.18,-0.04,-2.3,459.0,-0.00425,-0.0,0.7,600,0.01
"('entry_threshold', 1.2)","('lookback_window', 840)","('p-value', 0.05)",-16246.9,-3.25,-0.71,0.67,-1.06,-0.27,0.19,1.64,-0.05,-3.7,318.0,-0.00435,-0.01,1.2,840,0.05
"('entry_threshold', 1.3)","('lookback_window', 720)","('p-value', 0.05)",-27741.08,-5.55,-1.23,1.14,-1.08,-0.34,0.22,1.44,-0.09,-5.65,438.0,-0.00852,-0.01,1.3,720,0.05
"('entry_threshold', 1.0)","('lookback_window', 720)","('p-value', 0.05)",-35319.13,-7.06,-1.57,1.43,-1.1,-0.45,0.21,2.63,-0.12,-7.48,441.0,-0.006,-0.01,1.0,720,0.05
"('entry_threshold', 1.3)","('lookback_window', 840)","('p-value', 0.05)",-15587.82,-3.12,-0.68,0.61,-1.12,-0.27,0.2,1.76,-0.05,-3.38,318.0,-0.00388,-0.01,1.3,840,0.05
"('entry_threshold', 1.0)","('lookback_window', 840)","('p-value', 0.05)",-21804.88,-4.36,-0.96,0.83,-1.15,-0.34,0.22,2.81,-0.07,-4.36,321.0,-0.00343,-0.01,1.0,840,0.05
"('entry_threshold', 0.7)","('lookback_window', 840)","('p-value', 0.05)",-22943.74,-4.59,-1.01,0.87,-1.17,-0.42,0.22,4.85,-0.08,-4.67,322.0,-0.00209,-0.01,0.7,840,0.05
"('entry_threshold', 0.7)","('lookback_window', 480)","('p-value', 0.05)",-48825.65,-9.77,-2.2,1.87,-1.18,-0.8,0.23,1.6,-0.17,-9.77,683.0,-0.01373,-0.02,0.7,480,0.05
