level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.0)","('lookback_window', 600)","('p-value', 0.01)",-1427.77,-0.29,-0.06,0.23,-0.27,-0.01,0.13,-1.72,-0.0,-0.47,403.0,0.00036,-0.0,2.0,600,0.01
"('entry_threshold', 2.3)","('lookback_window', 600)","('p-value', 0.01)",-1640.1,-0.33,-0.07,0.15,-0.48,-0.02,0.22,-2.56,-0.01,-0.33,403.0,0.00028,-0.0,2.3,600,0.01
"('entry_threshold', 2.5)","('lookback_window', 600)","('p-value', 0.01)",-1640.1,-0.33,-0.07,0.15,-0.48,-0.02,0.22,-2.56,-0.01,-0.33,403.0,0.00028,-0.0,2.5,600,0.01
"('entry_threshold', 1.8)","('lookback_window', 480)","('p-value', 0.01)",-2768.67,-0.55,-0.12,0.19,-0.62,-0.06,0.22,-5.37,-0.01,-0.55,321.0,0.00022,-0.0,1.8,480,0.01
"('entry_threshold', 1.5)","('lookback_window', 480)","('p-value', 0.01)",-2768.67,-0.55,-0.12,0.19,-0.62,-0.06,0.22,-5.37,-0.01,-0.55,321.0,0.00022,-0.0,1.5,480,0.01
"('entry_threshold', 1.8)","('lookback_window', 360)","('p-value', 0.01)",-13197.91,-2.64,-0.58,0.84,-0.69,-0.17,0.16,2.45,-0.04,-3.71,757.0,-0.00236,-0.01,1.8,360,0.01
"('entry_threshold', 1.5)","('lookback_window', 600)","('p-value', 0.01)",-6297.98,-1.26,-0.27,0.39,-0.7,-0.05,0.22,8.62,-0.02,-1.26,405.0,-0.00032,-0.0,1.5,600,0.01
"('entry_threshold', 1.8)","('lookback_window', 600)","('p-value', 0.01)",-6297.98,-1.26,-0.27,0.39,-0.7,-0.05,0.22,8.62,-0.02,-1.26,405.0,-0.00032,-0.0,1.8,600,0.01
"('entry_threshold', 1.8)","('lookback_window', 600)","('p-value', 0.05)",-20643.8,-4.13,-0.91,1.22,-0.74,-0.28,0.19,0.43,-0.07,-4.89,562.0,-0.02129,-0.01,1.8,600,0.05
"('entry_threshold', 2.0)","('lookback_window', 600)","('p-value', 0.05)",-15037.25,-3.01,-0.66,0.89,-0.74,-0.21,0.2,0.89,-0.05,-3.29,562.0,-0.00741,-0.01,2.0,600,0.05
"('entry_threshold', 2.3)","('lookback_window', 360)","('p-value', 0.01)",-11010.7,-2.2,-0.48,0.61,-0.79,-0.14,0.17,-63.96,-0.04,-2.83,726.0,8e-05,-0.0,2.3,360,0.01
"('entry_threshold', 1.5)","('lookback_window', 600)","('p-value', 0.05)",-28521.3,-5.7,-1.26,1.57,-0.8,-0.28,0.21,0.58,-0.1,-5.97,562.0,-0.0218,-0.01,1.5,600,0.05
"('entry_threshold', 1.5)","('lookback_window', 360)","('p-value', 0.01)",-16784.26,-3.36,-0.74,0.9,-0.82,-0.23,0.17,2.7,-0.06,-4.25,765.0,-0.00273,-0.01,1.5,360,0.01
"('entry_threshold', 2.0)","('lookback_window', 360)","('p-value', 0.01)",-11945.61,-2.39,-0.52,0.63,-0.83,-0.17,0.17,-11.18,-0.04,-3.0,757.0,0.00047,-0.01,2.0,360,0.01
"('entry_threshold', 2.5)","('lookback_window', 600)","('p-value', 0.05)",-11843.24,-2.37,-0.52,0.62,-0.83,-0.15,0.22,2.14,-0.04,-2.37,561.0,-0.00242,-0.0,2.5,600,0.05
"('entry_threshold', 2.3)","('lookback_window', 600)","('p-value', 0.05)",-14789.23,-2.96,-0.65,0.73,-0.89,-0.19,0.2,2.75,-0.05,-3.23,562.0,-0.00235,-0.01,2.3,600,0.05
"('entry_threshold', 2.3)","('lookback_window', 480)","('p-value', 0.05)",-14330.41,-2.87,-0.63,0.62,-1.01,-0.17,0.21,36.31,-0.05,-3.05,616.0,-0.00017,-0.01,2.3,480,0.05
"('entry_threshold', 2.5)","('lookback_window', 480)","('p-value', 0.05)",-8876.02,-1.78,-0.39,0.38,-1.01,-0.14,0.22,2.49,-0.03,-1.78,617.0,-0.00155,-0.0,2.5,480,0.05
"('entry_threshold', 2.5)","('lookback_window', 360)","('p-value', 0.01)",-14034.6,-2.81,-0.62,0.59,-1.04,-0.16,0.22,-72.06,-0.05,-2.83,726.0,9e-05,-0.01,2.5,360,0.01
