level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 0.7)","('lookback_window', 60)","('p-value', 0.01)",-234084.99,-46.82,-12.79,7.09,-1.8,-1.23,0.27,8.3,-0.86,-47.54,1103.0,-0.01541,-0.13,0.7,60,0.01
"('entry_threshold', 1.3)","('lookback_window', 60)","('p-value', 0.01)",-139014.36,-27.8,-6.82,3.17,-2.15,-1.51,0.24,14.3,-0.51,-28.84,1100.0,-0.00477,-0.07,1.3,60,0.01
"('entry_threshold', 1.2)","('lookback_window', 60)","('p-value', 0.01)",-150527.49,-30.11,-7.47,3.37,-2.22,-1.59,0.24,18.77,-0.56,-31.11,1100.0,-0.00398,-0.08,1.2,60,0.01
"('entry_threshold', 1.0)","('lookback_window', 60)","('p-value', 0.01)",-167727.27,-33.55,-8.47,3.6,-2.36,-1.8,0.25,8.44,-0.63,-34.44,1103.0,-0.01004,-0.09,1.0,60,0.01
"('entry_threshold', 1.3)","('lookback_window', 45)","('p-value', 0.01)",-169631.85,-33.93,-8.59,3.59,-2.39,-1.62,0.25,-10.43,-0.65,-33.95,1117.0,0.00823,-0.09,1.3,45,0.01
"('entry_threshold', 1.2)","('lookback_window', 45)","('p-value', 0.01)",-174667.11,-34.93,-8.89,3.71,-2.4,-1.72,0.25,-17.45,-0.66,-35.06,1117.0,0.00509,-0.09,1.2,45,0.01
"('entry_threshold', 0.7)","('lookback_window', 45)","('p-value', 0.01)",-226061.55,-45.21,-12.22,4.66,-2.63,-2.32,0.27,-186.94,-0.89,-45.29,1117.0,0.00065,-0.13,0.7,45,0.01
"('entry_threshold', 1.0)","('lookback_window', 45)","('p-value', 0.01)",-208819.27,-41.76,-11.05,4.04,-2.74,-2.15,0.26,-18.79,-0.82,-41.85,1117.0,0.00588,-0.12,1.0,45,0.01
"('entry_threshold', 0.7)","('lookback_window', 60)","('p-value', 0.05)",-442075.47,-88.42,-37.32,13.26,-2.81,-2.36,0.42,11.41,-1.98,-88.64,1101.0,-0.03271,-0.45,0.7,60,0.05
"('entry_threshold', 1.3)","('lookback_window', 45)","('p-value', 0.05)",-397458.35,-79.49,-29.06,9.11,-3.19,-2.64,0.37,-27.16,-1.85,-79.55,1117.0,0.0107,-0.34,1.3,45,0.05
"('entry_threshold', 1.2)","('lookback_window', 60)","('p-value', 0.05)",-363937.79,-72.79,-24.57,7.55,-3.26,-2.71,0.33,93.44,-1.64,-73.51,1100.0,-0.00263,-0.28,1.2,60,0.05
"('entry_threshold', 1.2)","('lookback_window', 45)","('p-value', 0.05)",-409712.34,-81.94,-30.99,9.41,-3.29,-2.8,0.38,-48.2,-1.95,-82.02,1117.0,0.00643,-0.37,1.2,45,0.05
"('entry_threshold', 1.3)","('lookback_window', 30)","('p-value', 0.01)",-274219.85,-54.84,-15.82,4.73,-3.34,-2.67,0.29,-7.71,-1.17,-54.84,1133.0,0.02052,-0.17,1.3,30,0.01
"('entry_threshold', 1.0)","('lookback_window', 45)","('p-value', 0.05)",-430592.82,-86.12,-34.81,10.21,-3.41,-3.07,0.4,-945.78,-2.11,-86.18,1117.0,0.00037,-0.42,1.0,45,0.05
"('entry_threshold', 1.2)","('lookback_window', 30)","('p-value', 0.01)",-287410.96,-57.48,-16.92,4.94,-3.43,-2.84,0.29,-9.9,-1.24,-57.48,1133.0,0.01709,-0.19,1.2,30,0.01
"('entry_threshold', 1.3)","('lookback_window', 60)","('p-value', 0.05)",-351332.82,-70.27,-23.11,6.74,-3.43,-2.79,0.33,-182.04,-1.59,-71.05,1100.0,0.00127,-0.26,1.3,60,0.05
"('entry_threshold', 1.0)","('lookback_window', 60)","('p-value', 0.05)",-397786.44,-79.56,-29.11,8.42,-3.46,-3.04,0.36,16.35,-1.86,-80.05,1100.0,-0.01781,-0.34,1.0,60,0.05
"('entry_threshold', 0.7)","('lookback_window', 45)","('p-value', 0.05)",-457319.48,-91.46,-41.33,11.67,-3.54,-3.29,0.45,39.21,-2.36,-91.49,1117.0,-0.01054,-0.53,0.7,45,0.05
"('entry_threshold', 0.7)","('lookback_window', 30)","('p-value', 0.01)",-329181.79,-65.84,-20.76,5.83,-3.56,-3.46,0.32,330.8,-1.46,-65.84,1133.0,-0.00063,-0.23,0.7,30,0.01
"('entry_threshold', 1.0)","('lookback_window', 30)","('p-value', 0.01)",-309078.85,-61.82,-18.83,5.25,-3.59,-3.18,0.3,-13.2,-1.37,-61.82,1133.0,0.01427,-0.21,1.0,30,0.01
"('entry_threshold', 0.7)","('lookback_window', 30)","('p-value', 0.05)",-474238.64,-94.85,-47.41,11.96,-3.97,-3.93,0.5,22.39,-2.66,-94.85,1133.0,-0.02117,-0.63,0.7,30,0.05
"('entry_threshold', 1.3)","('lookback_window', 30)","('p-value', 0.05)",-440638.99,-88.13,-36.98,8.52,-4.34,-4.01,0.42,-9.67,-2.46,-88.15,1133.0,0.03822,-0.46,1.3,30,0.05
"('entry_threshold', 0.7)","('lookback_window', 15)","('p-value', 0.05)",-499627.11,-99.93,-78.99,18.18,-4.35,-4.76,0.79,56.45,-3.53,-99.93,1148.0,-0.01399,-1.54,0.7,15,0.05
"('entry_threshold', 1.2)","('lookback_window', 30)","('p-value', 0.05)",-450543.55,-90.11,-39.43,8.93,-4.41,-4.19,0.44,-12.05,-2.57,-90.12,1133.0,0.03271,-0.5,1.2,30,0.05
"('entry_threshold', 1.2)","('lookback_window', 15)","('p-value', 0.05)",-498430.34,-99.69,-71.32,16.08,-4.44,-4.7,0.72,-29.45,-3.49,-99.69,1147.0,0.02422,-1.24,1.2,15,0.05
"('entry_threshold', 1.0)","('lookback_window', 15)","('p-value', 0.05)",-499186.89,-99.84,-75.13,16.84,-4.46,-4.72,0.75,-209.3,-3.54,-99.84,1147.0,0.00359,-1.38,1.0,15,0.05
"('entry_threshold', 1.0)","('lookback_window', 30)","('p-value', 0.05)",-462285.66,-92.46,-42.88,9.56,-4.48,-4.34,0.46,-17.33,-2.71,-92.47,1133.0,0.02474,-0.56,1.0,30,0.05
"('entry_threshold', 1.3)","('lookback_window', 15)","('p-value', 0.01)",-488589.69,-97.72,-55.92,12.49,-4.48,-5.1,0.57,-15.4,-3.17,-97.72,1147.0,0.0363,-0.82,1.3,15,0.01
"('entry_threshold', 1.3)","('lookback_window', 15)","('p-value', 0.05)",-497810.53,-99.56,-69.17,15.42,-4.49,-4.75,0.69,-16.24,-3.5,-99.56,1147.0,0.04259,-1.17,1.3,15,0.05
"('entry_threshold', 1.2)","('lookback_window', 15)","('p-value', 0.01)",-490918.84,-98.18,-58.04,12.82,-4.53,-5.17,0.59,-24.4,-3.23,-98.18,1147.0,0.02379,-0.86,1.2,15,0.01
