level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.7)","('lookback_window', 220)","('p-value', 0.01)",9019.45,1.8,0.39,0.79,0.49,0.25,-0.43,2.38,0.03,-0.91,882.0,0.00163,0.0,1.7,220,0.01
"('entry_threshold', 1.8)","('lookback_window', 220)","('p-value', 0.01)",8758.63,1.75,0.38,0.79,0.47,0.23,-0.39,2.69,0.03,-0.96,866.0,0.0014,0.0,1.8,220,0.01
"('entry_threshold', 1.7)","('lookback_window', 280)","('p-value', 0.05)",13111.63,2.62,0.56,1.51,0.37,0.25,-0.33,-15.25,0.04,-1.73,775.0,-0.00037,0.01,1.7,280,0.05
"('entry_threshold', 1.9)","('lookback_window', 220)","('p-value', 0.01)",4468.32,0.89,0.19,0.69,0.28,0.12,-0.21,0.97,0.01,-0.91,875.0,0.00198,0.0,1.9,220,0.01
"('entry_threshold', 1.2)","('lookback_window', 280)","('p-value', 0.05)",16449.87,3.29,0.7,2.47,0.28,0.21,-0.2,4.09,0.05,-3.61,859.0,0.00172,0.01,1.2,280,0.05
"('entry_threshold', 1.8)","('lookback_window', 280)","('p-value', 0.05)",8797.15,1.76,0.38,1.42,0.27,0.17,-0.19,-292.94,0.03,-2.02,804.0,-1e-05,0.0,1.8,280,0.05
"('entry_threshold', 1.4)","('lookback_window', 220)","('p-value', 0.01)",3674.46,0.73,0.16,0.83,0.19,0.1,-0.13,0.78,0.01,-1.25,925.0,0.00204,0.0,1.4,220,0.01
"('entry_threshold', 1.6)","('lookback_window', 300)","('p-value', 0.01)",4222.19,0.84,0.18,0.99,0.18,0.08,-0.15,2.23,0.01,-1.19,830.0,0.00082,0.0,1.6,300,0.01
"('entry_threshold', 1.9)","('lookback_window', 300)","('p-value', 0.01)",3266.79,0.65,0.14,0.91,0.16,0.05,-0.12,14.56,0.01,-1.2,839.0,0.0001,0.0,1.9,300,0.01
"('entry_threshold', 1.5)","('lookback_window', 220)","('p-value', 0.01)",2962.18,0.59,0.13,0.79,0.16,0.08,-0.09,0.61,0.01,-1.37,928.0,0.00211,0.0,1.5,220,0.01
"('entry_threshold', 1.7)","('lookback_window', 300)","('p-value', 0.01)",3106.54,0.62,0.13,0.95,0.14,0.05,-0.11,1.47,0.01,-1.21,838.0,0.00092,0.0,1.7,300,0.01
"('entry_threshold', 1.1)","('lookback_window', 280)","('p-value', 0.05)",7864.58,1.57,0.34,2.54,0.13,0.1,-0.08,-5.69,0.03,-4.2,848.0,-0.0006,0.0,1.1,280,0.05
"('entry_threshold', 1.7)","('lookback_window', 280)","('p-value', 0.01)",2121.71,0.42,0.09,0.74,0.12,0.05,-0.09,-1.72,0.01,-0.97,857.0,-0.00053,0.0,1.7,280,0.01
"('entry_threshold', 1.0)","('lookback_window', 240)","('p-value', 0.1)",17678.72,3.54,0.76,6.74,0.11,0.12,-0.07,-0.17,0.05,-10.73,897.0,-0.04533,0.02,1.0,240,0.1
"('entry_threshold', 1.3)","('lookback_window', 280)","('p-value', 0.05)",5515.22,1.1,0.24,2.33,0.1,0.07,-0.08,0.87,0.02,-2.84,781.0,0.00272,0.0,1.3,280,0.05
"('entry_threshold', 1.8)","('lookback_window', 300)","('p-value', 0.01)",2201.92,0.44,0.1,0.92,0.1,0.03,-0.08,1.51,0.01,-1.2,832.0,0.00063,0.0,1.8,300,0.01
"('entry_threshold', 1.7)","('lookback_window', 280)","('p-value', 0.1)",7321.0,1.46,0.32,3.1,0.1,0.07,-0.08,-0.54,0.02,-3.84,862.0,-0.00581,0.0,1.7,280,0.1
"('entry_threshold', 1.6)","('lookback_window', 220)","('p-value', 0.01)",1611.9,0.32,0.07,0.77,0.09,0.04,-0.05,0.38,0.01,-1.37,924.0,0.00186,0.0,1.6,220,0.01
"('entry_threshold', 1.8)","('lookback_window', 380)","('p-value', 0.01)",1224.54,0.24,0.05,0.68,0.08,0.02,-0.04,-0.22,0.0,-1.39,770.0,-0.00241,0.0,1.8,380,0.01
"('entry_threshold', 1.6)","('lookback_window', 280)","('p-value', 0.05)",3045.84,0.61,0.13,1.9,0.07,0.04,-0.05,-1.04,0.01,-2.75,869.0,-0.00126,0.0,1.6,280,0.05
"('entry_threshold', 1.8)","('lookback_window', 280)","('p-value', 0.1)",4227.22,0.85,0.18,2.97,0.06,0.04,-0.05,-1.59,0.01,-3.55,871.0,-0.00115,0.0,1.8,280,0.1
"('entry_threshold', 1.3)","('lookback_window', 220)","('p-value', 0.01)",1246.46,0.25,0.05,0.86,0.06,0.03,-0.04,0.27,0.0,-1.4,928.0,0.00199,0.0,1.3,220,0.01
"('entry_threshold', 1.9)","('lookback_window', 280)","('p-value', 0.05)",1347.41,0.27,0.06,1.28,0.05,0.02,-0.03,-0.56,0.0,-1.74,850.0,-0.00104,0.0,1.9,280,0.05
"('entry_threshold', 1.9)","('lookback_window', 380)","('p-value', 0.01)",672.71,0.13,0.03,0.69,0.04,0.01,-0.02,-0.13,0.0,-1.4,774.0,-0.00226,0.0,1.9,380,0.01
"('entry_threshold', 1.1)","('lookback_window', 240)","('p-value', 0.1)",5826.21,1.17,0.25,5.87,0.04,0.05,-0.02,-0.07,0.02,-12.26,899.0,-0.03866,0.01,1.1,240,0.1
"('entry_threshold', 1.2)","('lookback_window', 240)","('p-value', 0.05)",2038.32,0.41,0.09,3.28,0.03,0.02,-0.01,-0.23,0.01,-8.18,897.0,-0.00385,0.0,1.2,240,0.05
"('entry_threshold', 1.6)","('lookback_window', 360)","('p-value', 0.05)",1227.74,0.25,0.05,1.74,0.03,0.02,-0.02,-0.06,0.0,-2.82,757.0,-0.00894,0.0,1.6,360,0.05
"('entry_threshold', 1.9)","('lookback_window', 280)","('p-value', 0.1)",2076.64,0.42,0.09,2.65,0.03,0.02,-0.02,-0.84,0.01,-5.41,864.0,-0.00107,0.0,1.9,280,0.1
"('entry_threshold', 1.1)","('lookback_window', 360)","('p-value', 0.05)",1774.83,0.35,0.08,2.46,0.03,0.02,-0.02,-0.07,0.01,-4.51,776.0,-0.01029,0.0,1.1,360,0.05
"('entry_threshold', 1.1)","('lookback_window', 240)","('p-value', 0.05)",1548.13,0.31,0.07,3.66,0.02,0.02,-0.01,-0.18,0.0,-9.39,901.0,-0.00372,0.0,1.1,240,0.05
"('entry_threshold', 1.8)","('lookback_window', 360)","('p-value', 0.05)",368.58,0.07,0.02,1.56,0.01,0.01,-0.01,-0.02,0.0,-2.96,769.0,-0.00668,0.0,1.8,360,0.05
"('entry_threshold', 1.2)","('lookback_window', 380)","('p-value', 0.01)",35.16,0.01,0.0,1.04,0.0,0.0,-0.0,-0.03,0.0,-1.18,774.0,-0.00057,0.0,1.2,380,0.01
"('entry_threshold', 1.0)","('lookback_window', 220)","('p-value', 0.01)",87.19,0.02,0.0,0.91,0.0,0.0,-0.0,0.01,0.0,-1.5,917.0,0.00321,-0.0,1.0,220,0.01
"('entry_threshold', 1.8)","('lookback_window', 280)","('p-value', 0.01)",-155.6,-0.03,-0.01,0.71,-0.01,-0.0,0.01,0.32,-0.0,-0.97,861.0,-0.00021,-0.0,1.8,280,0.01
"('entry_threshold', 1.0)","('lookback_window', 280)","('p-value', 0.05)",-740.35,-0.15,-0.03,2.76,-0.01,-0.01,0.01,0.07,-0.0,-5.32,846.0,-0.00481,0.0,1.0,280,0.05
